Entity,Code,Year,$10 a day - Number not in poverty,$6.85-$10 - Number in poverty,$3.65-$6.85 - Number in poverty,$2.15-$3.65 - Number in poverty,$2.15 a day - Number in poverty
Armenia,ARM,2002,232667,298449,1217452,1047002,309467
Armenia,ARM,2003,197247,340129,1323637,990563,232526
Armenia,ARM,2004,370582,442204,1366186,723743,163030
Armenia,ARM,2005,439582,551873,1465544,510118,80129
Armenia,ARM,2006,425550,700118,1432774,407557,60487
Armenia,ARM,2007,613523,709216,1270186,365314,46154
Armenia,ARM,2008,632982,794593,1280674,248927,26245
Armenia,ARM,2009,452712,710847,1391790,371963,36984
Armenia,ARM,2010,460363,656071,1416667,385159,28033
Armenia,ARM,2011,511128,682303,1350970,349865,34710
Armenia,ARM,2012,509227,795035,1283628,302277,24254
Armenia,ARM,2013,605412,755732,1211572,278235,50434
Armenia,ARM,2014,616996,797588,1147114,286642,41590
Armenia,ARM,2015,712899,822041,1072119,238537,32999
Armenia,ARM,2016,915128,734960,942856,241139,31752
Armenia,ARM,2017,702806,761562,1157138,208011,22406
Armenia,ARM,2018,668959,781679,1118789,229125,38005
Armenia,ARM,2019,548736,802273,1193723,246816,29054
Armenia,ARM,2020,489384,822627,1304942,178779,9876
Armenia,ARM,2021,523409,823496,1202022,227436,14611
Australia,AUS,1981,14438446,224004,74831,37716,148263
Australia,AUS,1985,15261589,205989,109644,53000,158090
Australia,AUS,1989,16188400,290951,167740,42180,125145
Australia,AUS,1995,17421839,267999,95096,84951,134997
Australia,AUS,2001,18795673,194374,93436,47157,144061
Australia,AUS,2003,19231298,144803,99848,48107,196681
Australia,AUS,2004,19585556,98433,106705,0,142028
Australia,AUS,2008,21035318,71628,0,65494,76759
Australia,AUS,2010,21735064,74581,72807,72370,76928
Australia,AUS,2014,23182658,58979,59292,57735,117022
Australia,AUS,2016,23888660,62974,118623,0,120650
Australia,AUS,2018,24594028,126876,61427,60204,124108
Austria,AUT,1994,7798402,58394,60996,0,18326
Austria,AUT,1995,7830298,38923,60365,18692,0
Austria,AUT,1996,7880866,38935,20379,18837,0
Austria,AUT,1997,7853162,56885,38394,0,19600
Austria,AUT,1998,7842109,55193,40289,20098,19100
Austria,AUT,1999,7934216,18362,21683,0,18063
Austria,AUT,2000,7914446,45425,32096,19599,0
Austria,AUT,2003,8042230,26246,20313,5654,26980
Austria,AUT,2004,8106364,30975,22972,4982,6673
Austria,AUT,2005,8151321,39423,20990,3450,12645
Austria,AUT,2006,8206915,22354,20320,11601,7451
Austria,AUT,2007,8197953,33219,14645,18787,30883
Austria,AUT,2008,8203739,35757,33568,9224,39208
Austria,AUT,2009,8216859,42407,22937,6368,54752
Austria,AUT,2010,8267369,27955,19973,7068,41039
Austria,AUT,2011,8258810,46182,38397,13395,34859
Austria,AUT,2012,8282125,57694,29766,8400,52006
Austria,AUT,2013,8387224,36026,24637,3274,28662
Austria,AUT,2014,8452229,31602,33819,9540,19166
Austria,AUT,2015,8485968,69202,24312,4689,58528
Austria,AUT,2016,8582091,38655,37921,19984,58017
Austria,AUT,2017,8702880,34609,25037,7056,27984
Austria,AUT,2018,8722322,16379,39628,11946,50246
Austria,AUT,2019,8773591,30875,12180,6386,56888
Austria,AUT,2020,8783025,40514,14185,18186,60954
Azerbaijan,AZE,1995,667288,1043299,2999185,2020574,954504
Azerbaijan,AZE,2001,1113983,1238536,3460424,1798797,499460
Azerbaijan,AZE,2002,1582534,2629821,3750116,202982,6497
Azerbaijan,AZE,2003,1868753,2694683,3401016,265483,4165
Azerbaijan,AZE,2004,1870473,2920519,3429763,85745,0
Azerbaijan,AZE,2005,2532968,3228339,2604120,26423,0
Bangladesh,BGD,1983,491076,1532759,13699425,41376739,33945479
Bangladesh,BGD,1985,1138116,2192898,17821509,43433811,31372765
Bangladesh,BGD,1988,1130940,1997060,15068390,41633649,42858794
Bangladesh,BGD,1991,802449,2060338,15615976,44942312,45821759
Bangladesh,BGD,1995,3012247,4350616,22928072,47842868,39659535
Bangladesh,BGD,2000,3545351,5549990,27258763,49790284,43048939
Bangladesh,BGD,2005,5085160,7769015,36283076,58003395,33771944
Bangladesh,BGD,2010,5658656,10134975,44579867,60975053,27042588
Bangladesh,BGD,2016,7705028,13222014,56364236,60973021,21520269
Bangladesh,BGD,2022,10996305,17857783,69883414,56055408,16393462
Belarus,BLR,1993,744758,2256943,5997699,1198013,41637
Belarus,BLR,1995,3391030,3039577,3080429,555498,127297
Belarus,BLR,1998,298348,699777,3363115,3518725,2191998
Belarus,BLR,1999,313864,890869,3701804,3195839,1924362
Belarus,BLR,2000,431815,1125261,4104027,2957046,1361461
Belarus,BLR,2001,901449,1713659,4522805,2132947,657689
Belarus,BLR,2002,1173734,2014268,4476933,1767087,433526
Belarus,BLR,2003,1352544,2095651,4510319,1494334,343901
Belarus,BLR,2004,1779853,2666005,4251391,906324,126573
Belarus,BLR,2005,3107964,3080291,2897410,492155,86095
Belarus,BLR,2006,4183875,2744657,2336141,301968,38283
Belarus,BLR,2007,5073031,2509157,1722298,235568,20899
Belarus,BLR,2008,5443228,2518450,1406748,143693,15866
Belarus,BLR,2009,5629471,2393626,1311528,156825,13133
Belarus,BLR,2010,6345538,2014677,1042646,77756,3219
Belarus,BLR,2011,6678989,1839982,886940,55110,622
Belarus,BLR,2012,7465965,1426991,539929,12812,1139
Belarus,BLR,2013,8090448,1031267,315624,5872,0
Belarus,BLR,2014,8153337,992501,297630,5047,0
Belarus,BLR,2015,7834763,1238062,375157,13094,0
Belarus,BLR,2016,7688334,1346326,429054,5665,0
Belarus,BLR,2017,7693075,1456599,298762,10553,0
Belarus,BLR,2018,8257601,997738,176928,6518,0
Belarus,BLR,2019,8479546,710290,228204,1718,0
Belarus,BLR,2020,8531583,727743,114447,6179,0
Belgium,BEL,1985,9735611,48971,24755,25293,23678
Belgium,BEL,1988,9778245,50613,0,25495,47311
Belgium,BEL,1992,9895816,29432,21138,0,98772
Belgium,BEL,1995,9992143,27580,43170,32113,41805
Belgium,BEL,1997,10034466,46827,49811,0,50141
Belgium,BEL,2000,10132552,18447,32466,36467,31318
Belgium,BEL,2003,10229276,55796,44265,16247,30549
Belgium,BEL,2004,10367680,9583,30536,7917,5421
Belgium,BEL,2005,10390358,35941,17956,14131,20231
Belgium,BEL,2006,10471209,31994,22562,4373,17820
Belgium,BEL,2007,10544185,39691,20934,4797,16093
Belgium,BEL,2008,10653629,25968,15303,2391,12682
Belgium,BEL,2009,10683530,75762,20050,5536,11615
Belgium,BEL,2010,10806046,38435,29427,6738,14940
Belgium,BEL,2011,10925511,46973,33786,13420,18574
Belgium,BEL,2012,11027800,28850,24591,8301,17390
Belgium,BEL,2013,11074059,29424,31173,8625,16126
Belgium,BEL,2014,11147348,31194,16340,5601,8574
Belgium,BEL,2015,11231965,17715,2513,14026,7977
Belgium,BEL,2016,11261160,35764,24281,3439,6778
Belgium,BEL,2017,11307754,26890,14792,8902,16820
Belgium,BEL,2018,11384449,19762,12587,987,9269
Belgium,BEL,2019,11448470,15414,10255,5816,9025
Belgium,BEL,2020,11488365,17389,19350,7185,6315
Belize,BLZ,1993,44668,29600,58241,35362,26306
Belize,BLZ,1994,41589,27071,64127,36276,29353
Belize,BLZ,1995,75182,29876,40282,27140,31076
Belize,BLZ,1996,40526,21394,60886,48851,38183
Belize,BLZ,1997,41025,23828,58642,48241,45381
Belize,BLZ,1998,41852,28764,58108,49553,46630
Belize,BLZ,1999,44994,32381,64345,45498,45515
Benin,BEN,2003,150659,224573,1097149,2120595,4066232
Benin,BEN,2011,332659,447917,1396357,2271753,5277694
Benin,BEN,2015,484097,409845,1502593,2992315,5543933
Benin,BEN,2018,820289,1137257,3632046,3953141,2397950
Bhutan,BTN,2003,83070,86527,201086,179144,84800
Bhutan,BTN,2007,131038,125933,243094,141651,39898
Bhutan,BTN,2012,235261,162305,237561,73540,12478
Bhutan,BTN,2017,300206,156959,227728,64077,7151
Bhutan,BTN,2022,576618,139742,62414,3669,12
Bolivia,BOL,1997,3097411,1291309,1627336,857068,1264495
Bolivia,BOL,1999,3117778,1098470,1524420,852333,1846051
Bolivia,BOL,2000,2648427,1147591,1753528,959612,2083498
Bolivia,BOL,2001,2873743,1343566,1922987,941317,1664471
Bolivia,BOL,2002,2818518,1292729,1973856,1063273,1752207
Bolivia,BOL,2004,3422672,1571459,2277540,1003002,941606
Bolivia,BOL,2005,3658529,1291538,2014550,949278,1463493
Bolivia,BOL,2006,4113234,1414196,1893405,929500,1192328
Bolivia,BOL,2007,4295096,1418823,2193684,884216,919333
Bolivia,BOL,2008,4974980,1554185,1857550,669385,824493
Bolivia,BOL,2009,5594661,1551864,1492542,529578,882672
Bolivia,BOL,2011,6514138,1442303,1362899,526019,550887
Bolivia,BOL,2012,6665536,1402100,1341942,476478,683641
Bolivia,BOL,2013,7091541,1314144,1337718,444185,555761
Bolivia,BOL,2014,7208098,1504949,1222672,514469,466799
Bolivia,BOL,2015,7237538,1581466,1319643,437971,513467
Bolivia,BOL,2016,7313394,1475478,1340281,500842,633020
Bolivia,BOL,2017,7535041,1496946,1354303,485087,564156
Bolivia,BOL,2018,7808053,1581992,1322771,513976,380113
Bolivia,BOL,2019,8245138,1701762,1160260,443968,226187
Bolivia,BOL,2020,8106044,1766368,1298219,392943,372588
Bolivia,BOL,2021,8516762,1728612,1181357,415440,237301
Bolivia (urban),,1990,1515465,764884,1049893,535240,78370
Bolivia (urban),,1992,1114228,664336,1357362,747156,371741
Bosnia and Herzegovina,BIH,2001,2574428,1040253,533661,32925,13665
Bosnia and Herzegovina,BIH,2004,3365333,505026,242639,22357,7505
Bosnia and Herzegovina,BIH,2007,3395513,419999,174922,14778,2664
Bosnia and Herzegovina,BIH,2011,3125106,401710,184521,28998,2807
Botswana,BWA,1985,102945,83923,230671,245251,475914
Botswana,BWA,1993,185552,131545,333369,313024,498772
Botswana,BWA,2002,410802,152786,341790,366662,523090
Botswana,BWA,2009,548049,264009,485485,389054,362400
Botswana,BWA,2015,565913,275133,588064,520460,355601
Brazil,BRA,1981,27440892,13883478,30177924,23690643,29975123
Brazil,BRA,1982,28864159,14144183,30008783,23768298,31279672
Brazil,BRA,1983,23949650,12590419,27746461,26636767,40054073
Brazil,BRA,1984,23917062,13264682,29563461,27090118,40053452
Brazil,BRA,1985,28501996,15329482,31124678,26604741,35222283
Brazil,BRA,1986,50826822,19729769,32619126,19339454,17128184
Brazil,BRA,1987,40287628,17878925,32337731,23545585,28416395
Brazil,BRA,1988,38784866,17348782,32018937,24538277,32563111
Brazil,BRA,1989,44181815,17477931,32452322,23693176,30198167
Brazil,BRA,1990,37196229,17467530,33358568,26525406,36158713
Brazil,BRA,1992,34123072,19822014,38460640,27183857,36311207
Brazil,BRA,1993,38124792,18380841,39106335,27812073,35016834
Brazil,BRA,1995,55076043,22367112,37564616,24411880,24095677
Brazil,BRA,1996,57024481,21650549,37607760,23180622,26573710
Brazil,BRA,1997,56976593,22234567,38476964,23931162,26927421
Brazil,BRA,1998,59375178,22784763,39495939,24860471,24523453
Brazil,BRA,1999,56076648,24055827,41537403,25847696,25968707
Brazil,BRA,2001,66992316,25640511,38865512,23470838,23242704
Brazil,BRA,2002,68673501,26401790,39688369,24527517,21185508
Brazil,BRA,2003,67529281,26235887,41233588,24608513,23022009
Brazil,BRA,2004,69711035,27567777,42353469,24667241,20422521
Brazil,BRA,2005,74711592,27993375,42347018,23134915,18610434
Brazil,BRA,2006,81345079,29342471,41490771,21037775,15604586
Brazil,BRA,2007,87561456,28779211,40085776,19337951,15015059
Brazil,BRA,2008,93449235,30203015,38783980,17697624,12538463
Brazil,BRA,2009,98043809,30698919,37390842,16478743,11905236
Brazil,BRA,2011,108134696,30777042,35426735,13298436,10548393
Brazil,BRA,2012,113869353,29705861,35140027,12276446,8986020
Brazil,BRA,2013,119769053,30057004,32764801,11609608,7521301
Brazil,BRA,2014,124448706,29473523,32009459,10760999,6766963
Brazil,BRA,2015,123525855,29797183,32817137,11091913,7956117
Brazil,BRA,2016,120906591,30058786,33933959,12225032,9735210
Brazil,BRA,2017,122348649,29753109,33473791,11943182,10986229
Brazil,BRA,2018,125046103,29097382,33152357,11728217,11142533
Brazil,BRA,2019,127578878,28774657,32652132,11365119,11412092
Brazil,BRA,2020,139833175,33441028,28582566,7183149,4156386
Brazil,BRA,2021,120691870,32855479,36656311,11639003,12483560
Bulgaria,BGR,1989,8686490,152217,29252,4333,4680
Bulgaria,BGR,1992,7405755,865855,268554,0,0
Bulgaria,BGR,1994,6383796,1589040,414779,34006,21970
Bulgaria,BGR,1995,4960102,2015947,1168960,159535,101523
Bulgaria,BGR,1997,1454723,2421322,3871155,519908,44960
Bulgaria,BGR,2001,3534803,2105634,1719083,443461,206161
Bulgaria,BGR,2003,2975719,2533074,1897187,297001,72346
Bulgaria,BGR,2006,3483090,1951061,1294492,429187,443192
Bulgaria,BGR,2007,4870611,1616946,858211,161880,37690
Bulgaria,BGR,2008,5638171,1010850,580215,169579,93746
Bulgaria,BGR,2009,5683036,942085,592645,129471,97206
Bulgaria,BGR,2010,5392724,1010638,655433,188320,148484
Bulgaria,BGR,2011,5254009,1061756,656939,194946,180678
Bulgaria,BGR,2012,5279928,995070,626884,235281,168725
Bulgaria,BGR,2013,5598882,709931,593759,232950,129593
Bulgaria,BGR,2014,5666542,763957,508349,165150,119940
Bulgaria,BGR,2015,5454778,710286,577688,189777,245462
Bulgaria,BGR,2016,5758809,625046,403803,199996,140168
Bulgaria,BGR,2017,5745973,662246,423345,147318,97065
Bulgaria,BGR,2018,5997614,466969,397972,101332,61150
Bulgaria,BGR,2019,6023062,451458,305318,131493,64430
Bulgaria,BGR,2020,6260636,359128,217847,79217,17187
Burkina Faso,BFA,1994,107048,151777,521564,1028023,8282844
Burkina Faso,BFA,1998,217853,173415,635454,1222687,8951654
Burkina Faso,BFA,2003,356372,457621,1897225,3191153,7128220
Burkina Faso,BFA,2009,359754,437235,2334468,4278958,8239607
Burkina Faso,BFA,2014,496544,785507,3400617,6291397,7195777
Burkina Faso,BFA,2018,1491969,1109649,4922415,6505381,6363309
Burundi,BDI,1992,14750,55632,330914,1031063,4310726
Burundi,BDI,1998,56180,71585,221401,891630,4794544
Burundi,BDI,2006,48694,92053,587558,1427911,5501974
Burundi,BDI,2013,132331,224653,996452,2185428,6610713
Cameroon,CMR,1996,634100,610421,2101249,3392220,6837334
Cameroon,CMR,2001,1135776,1350845,4362447,4663279,3980906
Cameroon,CMR,2007,1352224,1522089,4708965,4933280,5735308
Cameroon,CMR,2014,3050370,2578462,6195044,4754189,5721520
Canada,CAN,1971,19766116,933431,604199,164230,494056
Canada,CAN,1973,20974281,730991,336965,56261,393279
Canada,CAN,1975,21986583,462879,232404,116015,345394
Canada,CAN,1977,22658961,422100,229797,118493,296492
Canada,CAN,1979,23233492,423651,182015,59938,302448
Canada,CAN,1981,24075817,310423,185497,62190,185988
Canada,CAN,1982,24363494,313907,189845,63050,186646
Canada,CAN,1984,24648629,446453,255925,64035,192011
Canada,CAN,1985,25068974,386631,129097,128263,129151
Canada,CAN,1986,25448362,260439,65406,65541,260530
Canada,CAN,1987,25852057,264498,134365,63532,132149
Canada,CAN,1988,26255921,201729,133327,0,200770
Canada,CAN,1989,26665587,134319,136093,0,340782
Canada,CAN,1990,26998911,207648,138867,0,345712
Canada,CAN,1991,27267105,280406,140097,0,349812
Canada,CAN,1992,27737747,208065,142588,70962,211902
Canada,CAN,1993,27970894,212114,143876,0,357880
Canada,CAN,1994,28348215,290198,75265,0,286985
Canada,CAN,1995,28569957,366167,75967,71388,218832
Canada,CAN,1996,29018354,299263,148707,70011,73883
Canada,CAN,1997,29308170,303797,146159,73742,74080
Canada,CAN,1998,29553848,225420,152502,72731,150672
Canada,CAN,1999,29718520,303004,230503,0,149259
Canada,CAN,2000,30150392,228573,154917,75802,76046
Canada,CAN,2001,30479239,309268,79910,75125,77360
Canada,CAN,2002,30812533,312605,78461,80493,75987
Canada,CAN,2003,31169774,237129,79672,82422,75031
Canada,CAN,2004,31389200,312219,161442,0,77794
Canada,CAN,2005,31680012,242570,160130,82047,78994
Canada,CAN,2006,32083374,244459,84849,77342,81150
Canada,CAN,2007,32482280,242518,82579,0,81648
Canada,CAN,2008,32750224,248108,167177,0,81609
Canada,CAN,2009,33208816,168098,169822,0,82159
Canada,CAN,2010,33583112,255008,82154,0,84615
Canada,CAN,2011,33996948,88995,83697,92031,77657
Canada,CAN,2012,34202818,253200,85451,87175,85578
Canada,CAN,2013,34487256,251688,169828,0,174182
Canada,CAN,2014,34996841,86756,178430,89593,85815
Canada,CAN,2015,35167426,180752,177673,89262,87795
Canada,CAN,2016,35658174,98935,171898,90671,89809
Canada,CAN,2017,36088946,184028,90492,91499,90271
Canada,CAN,2018,36603291,185300,91633,92208,92652
Canada,CAN,2019,37131400,200844,81179,94316,93491
Cape Verde,CPV,2001,79526,57123,133313,104789,91207
Cape Verde,CPV,2007,113922,74835,161103,101537,53336
Cape Verde,CPV,2015,166046,104792,174586,81540,25202
Central African Republic,CAF,1992,48447,48936,167846,267733,2458765
Central African Republic,CAF,2008,180715,142289,534411,845306,2764512
Central African Republic,CAF,2021,79471,127561,568940,1097659,3583523
Chad,TCD,2003,152483,220398,1231367,2277516,5314602
Chad,TCD,2011,637205,847466,2855559,3467150,4510350
Chad,TCD,2018,698129,953506,3865250,5268286,4819039
Chile,CHL,1987,3167285,1647901,3475926,2466429,1955243
Chile,CHL,1990,3944879,1924035,3720141,2330395,1423418
Chile,CHL,1992,4579738,2211852,4011113,2056236,923358
Chile,CHL,1994,5196111,2322510,3819551,1906537,965965
Chile,CHL,1996,6064737,2504802,3677548,1686662,681734
Chile,CHL,1998,6568738,2589923,3609172,1541054,687855
Chile,CHL,2000,6240054,2757746,3899987,1559571,894441
Chile,CHL,2003,6515891,2902494,4020305,1581812,838610
Chile,CHL,2006,8129269,3322225,3607694,934441,340946
Chile,CHL,2009,9098016,3460133,3303947,681014,290337
Chile,CHL,2011,10234863,3292092,2956468,530229,159921
Chile,CHL,2013,12232354,3024981,1894918,264664,93008
Chile,CHL,2015,13349790,2698958,1531485,212793,77098
Chile,CHL,2017,14645408,2340943,1188280,131937,62009
Chile,CHL,2020,15334101,2420088,1221175,180295,144656
China,CHN,1981,32286,122035,3123556,79977477,910629646
China,CHN,1984,65260,224765,23598358,171451950,841484667
China,CHN,1987,299161,4607977,66197457,281230351,731700054
China,CHN,1990,2662647,8816533,71578254,235221892,816905674
China,CHN,1993,7664643,17042803,127105940,287674102,738952512
China,CHN,1996,18686616,36300549,211895386,364532985,586134464
China,CHN,1999,31570352,54317165,249191970,341825330,575830183
China,CHN,2002,65271474,102735800,308875333,336132993,467384400
China,CHN,2005,126282271,153597640,385057374,350432133,288350582
China,CHN,2008,209934941,194220884,395012531,287592008,237894636
China,CHN,2010,284434505,217187488,392884290,257227186,185971531
China,CHN,2011,320723263,232669620,415004937,239104472,137532708
China,CHN,2012,377801958,243943811,404549913,212884865,115009453
China,CHN,2013,447423714,271544778,428408053,176560777,39302678
China,CHN,2014,509209936,282178246,405776278,146172522,28523018
China,CHN,2015,564313364,293189087,387349728,118867872,16139949
China,CHN,2016,616058495,296749597,366372608,97045277,11564023
China,CHN,2017,655943715,293634207,351021862,86180796,9434420
China,CHN,2018,714568634,294481118,324170306,63538726,6001216
China,CHN,2019,762436858,297320378,305592607,40390126,2005031
China,CHN,2020,739884404,323239868,319477428,26935164,1563136
China (rural),,1981,95,0,0,24838774,769096347
China (rural),,1984,96,0,15970384,75448820,715199445
China (rural),,1987,98,3516653,34375192,139658631,643508375
China (rural),,1990,2662601,3701223,24593610,105138670,698923278
China (rural),,1993,2479761,4282613,34974566,147494910,646246757
China (rural),,1996,7963703,12605692,77224155,217914244,513248948
China (rural),,1999,9070139,13282998,77447378,204988194,511180233
China (rural),,2002,14333425,19362157,102798174,219463981,432448563
China (rural),,2005,21897712,32692229,168753707,259025766,266982768
China (rural),,2008,33061629,43291458,181935644,223714152,226170927
China (rural),,2010,42051266,52204616,195824280,210172244,178953931
China (rural),,2011,47400434,62651061,223467055,199801891,132323930
China (rural),,2012,59841562,73578929,227539205,181358291,110875559
China (rural),,2013,85595671,114497051,265587349,140794910,34070598
China (rural),,2014,104491115,130573892,254063833,114876157,23497486
China (rural),,2015,121900121,141085359,243225969,94987444,12838807
China (rural),,2016,136824691,147051951,228763013,78114352,9659459
China (rural),,2017,151655045,146386825,213935779,67267267,7723870
China (rural),,2018,176978682,152068846,191305541,47588882,5057454
China (rural),,2019,193941356,153896790,179907762,29562371,1453866
China (rural),,2020,183442825,157256096,188191205,15245295,154071
China (urban),,1981,32202,122004,3123596,55138699,141533283
China (urban),,1984,65163,224769,7627994,96003101,126285228
China (urban),,1987,299103,1091233,31822342,141571703,88191670
China (urban),,1990,36,5115309,46984627,130083228,117982418
China (urban),,1993,5184912,12760178,92131344,140179193,92705766
China (urban),,1996,10722947,23694781,134671273,146618736,72885521
China (urban),,1999,22500152,41034264,171744580,136837113,64649949
China (urban),,2002,50938038,83373604,206077223,116669018,34935817
China (urban),,2005,104384560,120905413,216303652,91406386,21367807
China (urban),,2008,176873294,150929441,213076850,63877912,11723693
China (urban),,2010,242383223,164982897,197060027,47054915,7017601
China (urban),,2011,273322778,170018586,191537902,39302580,5208783
China (urban),,2012,317960410,170364890,177010698,31526554,4133902
China (urban),,2013,361828089,157047699,162820686,35765867,5232080
China (urban),,2014,404718813,151604335,151712465,31296373,5025531
China (urban),,2015,442413275,152103704,144123752,23880428,3301141
China (urban),,2016,479233770,149697690,137609584,18930927,1904563
China (urban),,2017,504288669,147247391,137086071,18913533,1710550
China (urban),,2018,537589933,142412289,132864764,15949847,943762
China (urban),,2019,568495526,143423565,125684844,10827755,551165
China (urban),,2020,556441550,165983808,131286217,11689869,1409064
Colombia,COL,1992,9814290,5732371,10289965,4858685,3243728
Colombia,COL,1996,8847518,5252470,10014506,6080384,6437695
Colombia,COL,1999,8724024,5051341,10086578,6483535,8239555
Colombia,COL,2000,10260258,5621656,10295720,6176062,6861439
Colombia,COL,2001,8025993,5109288,10979168,7359366,8364060
Colombia,COL,2002,11558138,5567391,10819694,6773208,5735619
Colombia,COL,2003,11068806,6187515,11757869,6703929,5339568
Colombia,COL,2004,11705905,6058423,11879899,7003100,5000941
Colombia,COL,2005,12939586,6683144,11774888,6290137,4533185
Colombia,COL,2008,15795038,6768597,10709163,5711697,4830818
Colombia,COL,2009,16407127,6965834,11090599,5595245,4255112
Colombia,COL,2010,17646314,7191033,11011812,5254209,3712740
Colombia,COL,2011,18974624,7463973,10743684,5032858,3093760
Colombia,COL,2012,19995356,7576569,10528563,4607586,3074343
Colombia,COL,2013,21192023,7649434,10304719,4265830,2825924
Colombia,COL,2014,22324912,7815744,9875012,4127021,2535258
Colombia,COL,2015,22810143,8008463,10181846,3798405,2320871
Colombia,COL,2016,22964280,8302688,10230183,3788688,2340116
Colombia,COL,2017,23445394,8609723,10437043,3761310,2098201
Colombia,COL,2018,23999730,8555409,10696358,3808858,2216606
Colombia,COL,2019,24170012,8550212,10583745,4231164,2652273
Colombia,COL,2020,20801142,8621005,11673144,5068332,4767039
Colombia,COL,2021,22361118,8962299,11959467,4826621,3407057
Colombia (urban),,1980,4338547,2230690,3932501,2719175,3463270
Colombia (urban),,1988,6537895,3293549,5268141,3056451,3264824
Colombia (urban),,1989,6448884,3378087,5693893,3387650,3120991
Colombia (urban),,1991,7416203,3722927,5784212,3229354,3121175
Comoros,COM,2004,103554,80734,179990,131877,84999
Comoros,COM,2014,119418,104952,207795,149217,133230
Congo,COG,2005,179344,196232,623018,854217,1820028
Congo,COG,2011,353854,401996,1119743,1087761,1620862
Costa Rica,CRI,1981,395709,320623,662669,460663,641670
Costa Rica,CRI,1986,439822,601129,991679,418726,396493
Costa Rica,CRI,1989,1027686,592713,796676,337012,324914
Costa Rica,CRI,1990,1135029,581812,784235,329354,327823
Costa Rica,CRI,1991,1004839,569042,870906,392495,402132
Costa Rica,CRI,1992,1123684,602374,892809,372812,330260
Costa Rica,CRI,1993,1367173,646619,798662,302530,290388
Costa Rica,CRI,1994,1564225,648919,763461,266874,245673
Costa Rica,CRI,1995,1558953,689552,776790,292127,255434
Costa Rica,CRI,1996,1489925,655069,867973,342691,300576
Costa Rica,CRI,1997,1619582,693636,861550,313183,251470
